description,category,subcategory
bayar maxi yesterday,needs,Telecommunication
tamba nilai tng baru,needs,Transportation
grabfood delivery damansara,wants,Food & Beverage
tnb bill payment  midvalley deposit,needs,Financial Services
beli baju ghalit deposit,wants,Shopping
makan angin,wants,Food & Beverage
喝星巴克 (starbucks),wants,Food & Beverage
concert tickets jb cash,wants,Entertainment
home wifi bill for family,needs,Telecommunication
ubat gigi damansara,needs,Others
tukar phone baru rm10,wants,Shopping
home wifi bill,needs,Telecommunication
bayar ptptn cash,needs,Financial Services
servsi kereta rm100,needs,Transportation
shopping mall,wants,Shopping
pump petrol rm50,needs,Transportation
pizza hut delivery  online urgent,wants,Food & Beverage
bayar maxi,needs,Telecommunication
beli pampers anak  online,needs,Others
修车 (repair car),needs,Transportation
tnb bill payment urgent,needs,Financial Services
korean bbq,wants,Food & Beverage
topup tepon  kedai runcit,needs,Telecommunication
மின்சாரம் (electric bill),needs,Financial Services
beli data cash,needs,Telecommunication
sushi king now,wants,Food & Beverage
langgan netflix,wants,Entertainment
isi minyak kereta full monthly,needs,Transportation
打油 (dǎ yóu),needs,Transportation
bil internet damansara tomorrow,needs,Telecommunication
bayar bil celcom,needs,Telecommunication
starbucks cofee,wants,Food & Beverage
handbag luxury shah alam lagi,wants,Shopping
ngeteh mahal monthly,wants,Food & Beverage
bil unifi rumah klang,needs,Telecommunication
beli beras 10kg klang,needs,Food & Beverage
tambang lrt  at mall,needs,Transportation
tambang lrt deposi,needs,Transportation
change engine oil rm100,needs,Transportation
toiletreis yesterday,needs,Others
parking ticke,needs,Transportation
isi minyak keta cheras rm10,needs,Transportation
toiletrie,needs,Others
நகை (jewellery) for family,wants,Shopping
mekap watsons,wants,Shopping
去旅行 (travel),wants,Others
去旅行 (travel,wants,Others
change engine oil  pavilion,needs,Transportation
做SPA,wants,Others
போன் பில் (phone bill),needs,Telecommunication
காய்றி (kaaigari),needs,Food & Beverage
genting highland trip,wants,Entertainment
பள்ளி கட்டணம் (school fee)  bangsar,needs,Others
topup pubg,wants,Entertainment
鸡饭 (jīfàn)  onlin,needs,Food & Beverage
new gadget,wants,Shopping
பால் (paal) for mom,needs,Food & Beverage
grab to work,needs,Transportation
settle ptptn,needs,Financial Services
spa dan urut lagi,wants,Others
buy groceries giant,needs,Food & Beverage
gi jalan jalan  midvalley,wants,Entertainment
பள்ளி கட்டணம் (school fee),needs,Others
beli beras 10kg  pavilion yesterday,needs,Food & Beverage
பிரியாணி (briyani special) lagi,wants,Food & Beverage
கார் பழுது (car repair)  kedai runcit,needs,Transportation
buy groceries giant,needs,Food & Beverage
home wifi bill  online,needs,Telecommunication
付房租 (fù fángzū penang,needs,Financial Services
去旅行 (travel) penang,wants,Others
steam games,wants,Entertainment
打油 (dǎ yóu) urgent,needs,Transportation
bayar api,needs,Financial Services
shopping sakan klang,wants,Shopping
gym membership  bangsar rm10,wants,Others
tiket konsert penang,wants,Entertainment
makan angin kl monthly,wants,Food & Beverage
做SPA,wants,Others
ubat klinik for family,needs,Others
topup hotlink,needs,Telecommunication
网购 (online shopping) damansara,wants,Shopping
唱K (kraaoke),wants,Entertainment
喝星巴克 (starbucks,wants,Food & Beverage
main bowling,wants,Entertainment
insuran nyawa,needs,Financial Services
isi minyak kereta full klang,needs,Transportation
beli ayam seekor klang,needs,Food & Beverage
plumbin repair cheras,needs,Others
tukar phone baru,wants,Shopping
bil air syabas,needs,Financial Services
bayar bil celcom rm50,needs,Telecommunication
buy groceries giant lagi,needs,Food & Beverage
sabun basuh baju,needs,Others
klinik panel,needs,Others
insurans nyawa,needs,Financial Services
doctor visit,needs,Others
学费 (xuéfèi) penang,needs,Others
gi jalan jalan  bangsar credit,wants,Entertainment
plumbing repair,needs,Others
karaoke lagi,wants,Entertainment
main bowling,wants,Entertainment
isi minyak kereta full,needs,Transportation
சினிமா (cinema),wants,Entertainment
pizza hut delivery rm100,wants,Food & Beverage
pergi bercuti langkawi deposit,wants,Others
bayar maxis  bangsar,needs,Telecommunication
电话费 (diànhuà fèi),needs,Telecommunication
basuh kereta polish,wants,Others
opup tepon,needs,Telecommunication
电话费 (diànhuà fèi) shah alam,needs,Telecommunication
new sneakers,wants,Shopping
topup pubg,wants,Entertainment
topup touch n go,needs,Transportation
change engine oil,needs,Transportation
bil elektrik tnb penang,needs,Financial Services
付电费 (fù diànfèi),needs,Financial Services
beli pampers anak penang,needs,Others
isi minyak keta,needs,Transportation
bayar bil celcom shah alam yesterday,needs,Telecommunication
basuh kereta polsh,wants,Others
uniqlo haul cheras rm10,wants,Shopping
还车贷 (huán chēdài,needs,Financial Services
barang dapur basah,needs,Food & Beverage
main bowling,wants,Entertainment
isi minyak keta,needs,Transportation
நகை (jewellery),wants,Shopping
milk powder baby tomorrow,needs,Food & Beverage
bayar keta rm50,needs,Financial Services
starbucks coffee,wants,Food & Beverage
住酒店 (hotel rm10,wants,Others
beg tangan coac,wants,Shopping
kraoke,wants,Entertainment
tengok wayang  midvalley,wants,Entertainment
tuition fees,needs,Others
唱K (karaoke) rm10,wants,Entertainment
去旅行 (travel) credit,wants,Others
lunch economy rice,needs,Food & Beverage
hotel booking cash,wants,Others
கார் கடன் (car loan) lagi,needs,Financial Services
minyak muto,needs,Transportation
看医生 (kàn yīshēng),needs,Others
data reload  angsar,needs,Telecommunication
netflix bill now,wants,Entertainment
电话费 (diànhuà fèi) penang,needs,Telecommunication
வீட்டு வாடகை (veettu vaadagai) for family,needs,Financial Services
servis kereta,needs,Transportation
喝星巴克 (starucks) damansara,wants,Food & Beverage
tiket bas rapid,needs,Transportation
kredit telefon credit,needs,Telecommunication
starbucs coffee,wants,Food & Beverage
holiday trip penang,wants,Others
பிரியாணி (briyani special),wants,Food & Beverage
main game jb,wants,Entertainment
杂饭 (záfàn),needs,Food & Beverage
minyak masak paket,needs,Food & Beverage
tiket konsert,wants,Entertainment
மின்சாரம் (electric bill),needs,Financial Services
காய்கறி (kaaigari)  bangsa,needs,Food & Beverage
மருத்துவர் (doctor)  online,needs,Others
klinik panel  pavilion,needs,Others
买手机 (buy phone),wants,Shopping
reload tng ewallet jb cash,needs,Transportation
makan angin,wants,Others
ubat gigi now,needs,Others
tiket bas rapid cheras,needs,Transportation
kredit telefon cheras,needs,Telecommunication
beli air boba today,wants,Food & Beverage
pekena nasi kandaq cheras rm50,wants,Food & Beverage
bayar sewa ghugi jb,needs,Financial Services
இணையம் (internet) chears,needs,Telecommunication
上网费 (shàngwǎng fèi),needs,Telecommunication
学费 (xuéfèi),needs,Others
netflix bill,wants,Entertainment
maan shellout shah alam,wants,Food & Beverage
change engine oil,needs,Transportation
topup hotlink jb,needs,Telecommunication
tiket bas rapid yesterda,needs,Transportation
ngeteh mahal  pavilion for mom,wants,Food & Beverage
spotify subscription rm10,wants,Entertainment
住酒店 (hotel) now,wants,Others
bayar duit keret,needs,Financial Services
settle ptptn,needs,Financial Services
car service centre,needs,Transportation
sabun basuh baju for mom,needs,Others
beli jam tangan,wants,Shopping
tengok wayang klang rm100,wants,Entertainment
bayar api urgent,needs,Financial Services
bayar sewa rumah for family,needs,Financial Services
pekena nasi kandaq rm10,wants,Food & Beverage
renew roadtax,needs,Financial Services
买药 (mǎi yào),needs,Others
bayar sewa rumah,needs,Financial Services
bus fare today,needs,Transportation
充值 (top up),needs,Telecommunication
spa dan urut for mom,wants,Others
买菜 (mǎi cài) kl,needs,Food & Beverage
servis kereta rm010,needs,Transportation
renw roadtax,needs,Financial Services
beli midin,needs,Food & Beverage
还车贷 (huán chēdài),needs,Financial Services
maggi mee pack tomorrow,needs,Food & Beverage
beli ubat demam  midvalle,needs,Others
skincare haul,wants,Shopping
bil internet,needs,Telecommunication
flight tickets penang lagi,wants,Others
beli air boba,wants,Food & Beverage
买手机 (buy phone,wants,Shopping
minyak muto urgent,needs,Transportation
pay house rent penang,needs,Financial Services
bayar keta now,needs,Financial Services
iphone 15 pro,wants,Shopping
topup umobile for mom,needs,Telecommunication
give parents money,needs,Financial Services
car service centre,needs,Transportation
topup umobile,needs,Telecommunication
இணையம் (internet),needs,Telecommunication
saubn basuh baju for mom,needs,Others
give parents money,needs,Financial Services
பள்ளி கட்டணம் (school fee) monthly,needs,Others
topup umobile,needs,Telecommunication
makan angin cheras for mom,wants,Food & Beverage
கார் பழுது (car repair) monthly,needs,Transportation
சினிமா (cinema) baru,wants,Entertainment
topup umobile  pavilion deposit,needs,Telecommunication
pay digi bill,needs,Telecommunication
tiket flight,wants,Others
give parents mney,needs,Financial Services
insurans ynawa,needs,Financial Services
电话费 (diànhuà fèi) cheras,needs,Telecommunication
சினிமா (cinema)  online,wants,Entertainment
pergi bercuti langkawi,wants,Others
beli ayam seeko,needs,Food & Beverage
bil unifi rumah,needs,Telecommunication
netflix bill,wants,Entertainment
renew roadtax damansara today,needs,Financial Services
sayur manis  pavilion,needs,Food & Beverage
电话费 (diànhuà fèi) credit,needs,Telecommunication
servis aircond  pavilion urgent,needs,Others
uniqlo haul for family,wants,Shopping
pump petrol,needs,Transportation
hiasan rumah,wants,Others
tiket sunway lagoon,wants,Entertainment
புதிய உடை (new dress) damansara,wants,Shopping
gi pusing pusing esterday,wants,Others
bil unifi rumah,needs,Telecommunication
nasi lemak biasa,needs,Food & Beverage
isi minyak keta  online rm100,needs,Transportation
new sneakers  kedai runcit,wants,Shopping
nambang bas  pavilion,needs,Transportation
mobile data plan now,needs,Telecommunication
baya bil celcom baru,needs,Telecommunication
korean bbq,wants,Food & Beverage
bus fare shah alam,needs,Transportation
servis aircond  pavilion for mom,needs,Others
minyak muto,needs,Transportation
kredit telefon shah alam for family,needs,Telecommunication
சினிமா (cinema),wants,Entertainment
tambang lrt deposit,needs,Transportation
beli sabun bsauh,needs,Others
bil elekrtik tnb,needs,Financial Services
bayar sewa ghugi  bangsar,needs,Financial Services
new gadget monthly,wants,Shopping
buy cooking oil  pavilion urgen,needs,Food & Beverage
bread and eggs,needs,Food & Beverage
skincare haul damansara,wants,Shopping
kredit telefon  midvalley credit,needs,Telecommunication
yuran tadika jb tomorrow,needs,Others
pay water bill now,needs,Financial Services
uniql haul,wants,Shopping
hotel mahal  pavilion tdoay,wants,Others
pay insurance,needs,Financial Services
topup pubg,wants,Entertainment
main game,wants,Entertainment
shopping mall,wants,Shopping
spa package  bangsar for family,wants,Others
car service centre penang urgent,needs,Transportation
bayar sewa ghugi shah alam,needs,Financial Services
喝星巴克 (starbucks),wants,Food & Beverage
data reload,needs,Telecommunication
karaok credit,wants,Entertainment
buy medcine,needs,Others
udrian musang king,wants,Food & Beverage
plumbing repair shah alam,needs,Others
充值 (top up),needs,Telecommunication
tiket konsert,wants,Entertainment
鸡饭 (jīfàn),needs,Food & Beverage
买奶茶 (boba) damansara,wants,Food & Beverage
பஸ் கட்டணம் (bus fare),needs,Transportation
korean bbq,wants,Food & Beverage
pay car loan  kedai runcit,needs,Financial Services
hiasan rumah kl,wants,Others
tukar tyar kereta,needs,Transportation
பர்கர் (burger),wants,Food & Beverage
settle ptptn tomorrow,needs,Financial Services
சோறு (sour),needs,Food & Beverage
காய்கறி (kaaigari)  midvalley now,needs,Food & Beverage
充值 (top up) kl,needs,Telecommunication
打油 (dǎ yóu),needs,Transportation
tiket bas rapid jb,needs,Transportation
grab to work,needs,Transportation
hiasan rumah rm100,wants,Others
nambang bas baru,needs,Transportation
kek secret recipe baru,wants,Food & Beverage
buy cooking oil  at mall,needs,Food & Beverage
上网费 (shàngwǎng fèi) damansara,needs,Telecommunication
பீஸ்ஸ (pizza),wants,Food & Beverage
tiket flight,wants,Others
nasi lemak biasa,needs,Food & Beverage
ps5 games,wants,Shopping
sabun basuh baju klang credit,needs,Others
கார் கடன் (car loan) chears,needs,Financial Services
ubat gigi,needs,Others
மருத்துவர் (doctor) rm10,needs,Others
concert tickets,wants,Entertainment
cukai pendapatan lhdn baru,needs,Financial Services
servis kereta,needs,Transportation
ubat gigi cash,needs,Others
parking ticket,needs,Transportation
car detailing  online,wants,Others
充值 (top up)  midvallye,needs,Telecommunication
mekap watsons shah alam,wants,Shopping
topup hotlink  pavilion,needs,Telecommunication
car detailing,wants,Others
ubat klinik,needs,Others
minum strbucks,wants,Food & Beverage
நகை (jewellery) baru,wants,Shopping
看医生 (kàn yīshēng) cheras,needs,Others
鸡饭 (jīfàn),needs,Food & Beverage
korean bbq,wants,Food & Beverage
topup hotlink kl,needs,Telecommunication
home decor today,wants,Others
அரிசி (raisi),needs,Food & Beverage
beli data urgnt,needs,Telecommunication
充值 (top up),needs,Telecommunication
netflix bill,wants,Entertainment
minyak masak paket now,needs,Food & Beverage
பர்கர் (burger)  bangsar,wants,Food & Beverage
sayur mais,needs,Food & Beverage
看电影 (movie) rm10,wants,Entertainment
bayar bil celcom yesterday,needs,Telecommunication
ayar api jb,needs,Financial Services
pizza hut delivery shah alam tomorrow,wants,Food & Beverage
buy cooking oil,needs,Food & Beverage
plumbing repair,needs,Others
concert tickets,wants,Entertainment
bil elektrik tnb tomorrow,needs,Financial Services
付电费 (fù diànfèi),needs,Financial Services
சினிமா (cinema),wants,Entertainment
pay insurance  midvalley lagi,needs,Financial Services
修车 (repair car),needs,Transportation
shopee 11.11,wants,Shopping
pay insurance cheras,needs,Financial Services
car detailing,wants,Others
settle ptptn rm50,needs,Financial Services
netflix bill yesterday,wants,Entertainment
bayar sewa guhgi,needs,Financial Services
insurans nyawa,needs,Financial Services
zkat fitrah rm100,needs,Financial Services
去旅行 (travel)  at mall for mom,wants,Others
holiday trip,wants,Others
beli sabun basuh,needs,Others
bus fare damansara,needs,Transportation
yuran tadika now,needs,Others
சுற்றுலா (otur),wants,Others
பிரியாணி (briyani special)  at mall for mom,wants,Food & Beverage
பால் (paal)  bnagsar tomorrow,needs,Food & Beverage
durian musang king,wants,Food & Beverage
yuran sekolh anak  at mall deposit,needs,Others
bayar duit kereta,needs,Financial Services
tiket konsert jb,wants,Entertainment
topup umobile,needs,Telecommunication
付电费 (fù diànfèi) cheras,needs,Financial Services
zakat fitrah jb,needs,Financial Services
nangga wayang  online monthly,wants,Entertainment
nasi lemak biasa,needs,Food & Beverage
zakat fitrah,needs,Financial Services
买新衣服 (new clothes),wants,Shopping
nasi lemak biasa  midvalley,needs,Food & Beverage
car detailing  midvalley cash,wants,Others
skincare haul klang,wants,Shopping
பீஸ்ஸா (pizza) jb,wants,Food & Beverage
genting highland trip  online,wants,Entertainment
tiket flight shah alam,wants,Others
nambang bas,needs,Transportation
beli sabun basuh,needs,Others
pay water bill  midvalley,needs,Financial Services
ubat klinik klang,needs,Others
beli data,needs,Telecommunication
bayra duit kereta,needs,Financial Services
beli midin,needs,Food & Beverage
insurans nyawa,needs,Financial Services
买奶茶 (boba)  bangsar urgent,wants,Food & Beverage
bil air syabas,needs,Financial Services
makan angin,wants,Food & Beverage
kreit telefon,needs,Telecommunication
topup pubg rm10,wants,Entertainment
pay digi bill klang,needs,Telecommunication
mobile data plan baru,needs,Telecommunication
kek secret recipe,wants,Food & Beverage
beli sabun basuh,needs,Others
pergi bercuti langkawi cheras,wants,Others
bayar keta urgent,needs,Financial Services
bil unifi rumah,needs,Telecommunication
karaoke penang,wants,Entertainment
plmbing repair,needs,Others
sayur mais,needs,Food & Beverage
mobil data plan  midvalley,needs,Telecommunication
网购 (online shopping) urgent,wants,Shopping
nambang bas  bangsar urgent,needs,Transportation
shopping sogo lagi,wants,Shopping
beli ubat demam,needs,Others
makan angin klag rm50,wants,Others
minum starbucks,wants,Food & Beverage
住酒店 (hotel) now,wants,Others
soptify subscription,wants,Entertainment
pay insurance  at mall,needs,Financial Services
beli ubat demam kl,needs,Others
beli jam tangan,wants,Shopping
beli air boba lagi,wants,Food & Beverage
nangga wayang kl,wants,Entertainment
bil elektrik tnb,needs,Financial Services
ohliday trip tomorrow,wants,Others
new gadget,wants,Shopping
beli jam tangan,wants,Shopping
isi minyak kereta full,needs,Transportation
reload prepaid,needs,Telecommunication
பால் (apal) kl,needs,Food & Beverage
beli jam angan,wants,Shopping
ps5 agmes now,wants,Shopping
topu hotlink,needs,Telecommunication
bayar api yesterday,needs,Financial Services
pay car loan,needs,Financial Services
beli diamond mlbb monthly,wants,Entertainment
topup tepon,needs,Telecommunication
புதிய உடை (new dress) jb,wants,Shopping
netflix bill,wants,Entertainment
reload prepaid,needs,Telecommunication
bus fare,needs,Transportation
充值Touch n Go,needs,Transportation
pay car loan,needs,Financial Services
மின்சாரம் (electric bill),needs,Financial Services
new sneaker,wants,Shopping
chicken rice for lunch  bangsar for family,needs,Food & Beverage
klinik panel,needs,Others
new gadget,wants,Shopping
barang dapur basah,needs,Food & Beverage
home wifi bill cash,needs,Telecommunication
makan shellout damansara,wants,Food & Beverage
steam games,wants,Entertainment
tukar tayar kereta,needs,Transportation
diapers and milk  midvalley credit,needs,Others
beli diamond mlbb kl,wants,Entertainment
kasut nike baru,wants,Shopping
fancy dinner  paviilon,wants,Food & Beverage
tapau nasi,needs,Food & Beverage
还车贷 (huán chēàdi) rm10,needs,Financial Services
kasut nike baru chera,wants,Shopping
maggi mee pack,needs,Food & Beverage
去云顶 (genting) cheras,wants,Entertainment
学费 (xuéfèi),needs,Others
இணையம் (interet),needs,Telecommunication
basuh kereta polish credit,wants,Others
zakat fitrah,needs,Financial Services
கார் கடன் (car loan) now,needs,Financial Services
beli baju raya,wants,Shopping
movie tickets rm10,wants,Entertainment
sabun basuh baju penang rm10,needs,Others
住酒店 (hotel) credit,wants,Others
renew roadtax cheras,needs,Financial Services
movie tickets,wants,Entertainment
去旅行 (travel  pavilion,wants,Others
gi pusing pusing,wants,Others
nangga wayang rm10,wants,Entertainment
sabun basuh baju jb,needs,Others
bayar duit kereta penang,needs,Financial Services
servi kereta,needs,Transportation
beli baju ghalit monthly,wants,Shopping
milk powder baby,needs,Food & Beverage
tnb bill payment,needs,Financial Services
barang apur basah,needs,Food & Beverage
上网费 (shàngwǎn fèi),needs,Telecommunication
பால் (paal for mom,needs,Food & Beverage
pump petrol,needs,Transportation
shopping sakan,wants,Shopping
电话费 (diànhuà fèi) for mom,needs,Telecommunication
buy cooking oil now,needs,Food & Beverage
lunch economy rice rm10,needs,Food & Beverage
சினிமா cinema),wants,Entertainment
杂饭 (záfàn) credit,needs,Food & Beverage
住酒店 (hotel) klang,wants,Others
கார் கடன் (car loan),needs,Financial Services
beli jam tangan,wants,Shopping
tuition fees  at mall urgent,needs,Others
kasu nike baru,wants,Shopping
lunch economy rice  midvalley,needs,Food & Beverage
karaoke night,wants,Entertainment
settl ptptn,needs,Financial Services
beli midin penang,needs,Food & Beverage
mekap watsons rm50,wants,Shopping
கார் பழுது (car repair),needs,Transportation
langgan netflix,wants,Entertainment
充值 (top up),needs,Telecommunication
sushi king tomorrow,wants,Food & Beverage
tiket bas rapid kl,needs,Transportation
நகை (jewellery)  online,wants,Shopping
bayar duit kereta damansara,needs,Financial Services
nambang bas deposit,needs,Transportation
充值Touch n Go now,needs,Transportation
充值 (top up) for family,needs,Telecommunication
买菜 (mǎi cài),needs,Food & Beverage
பீஸ்ஸா (pizza),wants,Food & Beverage
பெட்ரோல் (petrol)  online rm50,needs,Transportation
இணையம் (internet),needs,Telecommunication
tengok wayang,wants,Entertainment
kek secret recipe,wants,Food & Beverage
car detailing,wants,Others
bil internet,needs,Telecommunication
买新衣服 (new clothes),wants,Shopping
唱K (karaoke),wants,Entertainment
lrt ticket monthly  at mall rm10,needs,Transportation
மின்சாரம் (electric bill) jb deposit,needs,Financial Services
beg tangan coach penang,wants,Shopping
bil unifi rumah,needs,Telecommunication
car service centr,needs,Transportation
tnb bill payment  at mall,needs,Financial Services
மின்சாரம் (electric bill),needs,Financial Services
reload tng ewallet  pavilion lagi,needs,Transportation
gym membership,wants,Others
சினிமா (cinema) for family,wants,Entertainment
reload prepaid,needs,Telecommunication
kek secret recipe,wants,Food & Beverage
இணையம (internet),needs,Telecommunication
concert tickets now,wants,Entertainment
beli beras 10kg,needs,Food & Beverage
car service centre,needs,Transportation
bayar bil celcom lagi,needs,Telecommunication
还车贷 (huán chēdià) rm100,needs,Financial Services
isi minyak motor credit,needs,Transportation
இணையம் (internet),needs,Telecommunication
mbayar aek,needs,Financial Services
korea bbq rm50,wants,Food & Beverage
看医生 (kàn yīshēng) kl,needs,Others
tengok wayang  online yesterday,wants,Entertainment
去旅行 (travel),wants,Others
nasi lemak biasa  at mall for mom,needs,Food & Beverage
topup umobile deposit,needs,Telecommunication
home wifi bill  kedai runcit,needs,Telecommunication
买手机 (buy phone),wants,Shopping
பால் (paal),needs,Food & Beverage
pergi bercuti langkawi,wants,Others
topup tepon for family,needs,Telecommunication
ubat klini,needs,Others
servis aircond for mom,needs,Others
uniqlo haul,wants,Shopping
spa package monthly,wants,Others
bayar keta yesterday,needs,Financial Services
tudung duck lagi,wants,Shopping
langgan netflix for family,wants,Entertainment
topup pubg yesterday,wants,Entertainment
data reload,needs,Telecommunication
topup touch n go,needs,Transportation
lunch economy rice,needs,Food & Beverage
tnb bill payment,needs,Financial Services
klinik panel cheras,needs,Others
servis kereta,needs,Transportation
beli data kl credi,needs,Telecommunication
nasi lemak biasa lagi,needs,Food & Beverage
பள்ளி கட்டணம் (school fee),needs,Others
pay house rent,needs,Financial Services
bayar bil celcom,needs,Telecommunication
pekena nasi kandaq shah alam,wants,Food & Beverage
uniqlo haul cheras,wants,Shopping
kasut nike baru,wants,Shopping
nambang bas,needs,Transportation
ps5 games,wants,Shopping
去旅行 (travel) damansara cash,wants,Others
give parents money rm50,needs,Financial Services
看电影 (movie) rm10,wants,Entertainment
சோறு (soru) now,needs,Food & Beverage
lrt ticket monthly kl,needs,Transportation
makan wagyu shah alam,wants,Food & Beverage
data reload,needs,Telecommunication
klinik panel today,needs,Others
tiket bas rapid,needs,Transportation
看医生 (kàn yīshēng,needs,Others
makan angi rm50,wants,Food & Beverage
mobile data plan tomorrow,needs,Telecommunication
chicken rice for lunch,needs,Food & Beverage
holida bali,wants,Others
kek secret recipe,wants,Food & Beverage
home decor,wants,Others
买菜 (mǎi cài)  online,needs,Food & Beverage
durian musang king  kedai runcit,wants,Food & Beverage
bayar api,needs,Financial Services
pay water bill  midvalley rm100,needs,Financial Services
makan wagyu yesterdy,wants,Food & Beverage
klini panel,needs,Others
பெட்ரோல் (petrol)  kedai runcit,needs,Transportation
网购 (onlin shopping),wants,Shopping
nasi lemak biasa  bangsr,needs,Food & Beverage
makan kfc famil baru,wants,Food & Beverage
servis aircond klang,needs,Others
redit telefon,needs,Telecommunication
minum starbuks,wants,Food & Beverage
nangga wayan  bangsar,wants,Entertainment
买药 (mǎi yào) cash,needs,Others
பால் (paal),needs,Food & Beverage
bil air syabas,needs,Financial Services
new gadget  online,wants,Shopping
bayar ptptn,needs,Financial Services
买奶茶 (boba)  kedai runcit,wants,Food & Beverage
renew roadtax damansara,needs,Financial Services
杂饭 (záfàn)  at mall today,needs,Food & Beverage
car detailing,wants,Others
isi minyak kereta full,needs,Transportation
plumbing repiar,needs,Others
isi minyak motor for mom,needs,Transportation
main bowling,wants,Entertainment
电话费 (diànhuà fèi)  at mall deposit,needs,Telecommunication
yuran sekolah anak tomorrow,needs,Others
காய்கறி (kaaigari),needs,Food & Beverage
சோறு (soru) damansara,needs,Food & Beverage
bayar sewa urmah,needs,Financial Services
grab to work,needs,Transportation
tiket flight  bangsar,wants,Others
ubat klnik,needs,Others
topup touch n go cheras credit,needs,Transportation
bil elekrtik tnb  pavilion,needs,Financial Services
இணையம் (internet)  at mall lagi,needs,Telecommunication
mekap watsosn,wants,Shopping
pump petrol  online,needs,Transportation
milk powder baby penang baru,needs,Food & Beverage
喝星巴克 (starbucsk),wants,Food & Beverage
充值 (top up),needs,Telecommunication
付电费 (fù diànfèi) penang credit,needs,Financial Services
bayar api toda,needs,Financial Services
bil air syabas kl for family,needs,Financial Services
reload prepaid,needs,Telecommunication
make nasik berlauk for family,needs,Food & Beverage
beli ayam seekor cash,needs,Food & Beverage
topup touch n go kl tomorrow,needs,Transportation
tiket bas rapid,needs,Transportation
bil internet,needs,Telecommunication
dctor visit,needs,Others
pay insurance jb,needs,Financial Services
settle ptptn,needs,Financial Services
grabfood delivery,wants,Food & Beverage
bayar duit kereta,needs,Financial Services
பள்ளி கட்டணம் (school fee) cash,needs,Others
இணையம் (internet) klang,needs,Telecommunication
gi jalan jalan  at mall,wants,Entertainment
电话费 (diànhuà fèi),needs,Telecommunication
parking ticket rm10,needs,Transportation
minyak masak paket,needs,Food & Beverage
karaoke night cheras,wants,Entertainment
beli air boba  pavilion for mom,wants,Food & Beverage
bayar keta kl,needs,Financial Services
bil internet  pavilion yesterday,needs,Telecommunication
bread and eggs klan,needs,Food & Beverage
langgan netflix,wants,Entertainment
付电费 (fù diànfèi)  at mall,needs,Financial Services
tiket konsert,wants,Entertainment
beli beras 10kg  at mall,needs,Food & Beverage
topup hotlink,needs,Telecommunication
付过路费 (tol),needs,Transportation
karaoke,wants,Entertainment
spa package monthly,wants,Others
充值 (top up) cash,needs,Telecommunication
yuran seoklah anak,needs,Others
tudung duck  bangsar,wants,Shopping
beli beras 10kg,needs,Food & Beverage
付电费 (fù diànfèi),needs,Financial Services
pump petrol,needs,Transportation
pay car loan,needs,Financial Services
பஸ் கட்டணம் (bus fare),needs,Transportation
shopping sogo deposit,wants,Shopping
shopping sogo,wants,Shopping
topu pubg,wants,Entertainment
netflix premium shah alam,wants,Entertainment
hotel booking enang,wants,Others
பள்ளி கட்டணம் (school fee),needs,Others
sayur pasar tani  at mall,needs,Food & Beverage
住酒店 (hotel),wants,Others
上网费 (shàngwǎng fèi),needs,Telecommunication
beli jam tangan,wants,Shopping
shopee 11.11 rm100,wants,Shopping
gi pusing pusing damansara urgent,wants,Others
tiket konsert jb,wants,Entertainment
充值 (top up),needs,Telecommunication
cukai pendapatan lhdn shah alam,needs,Financial Services
付过路费 (tol),needs,Transportation
grab to work,needs,Transportation
sabun basuh baju,needs,Others
grab to work,needs,Transportation
tiket konsert,wants,Entertainment
plumbing repair cash,needs,Others
neflix premium,wants,Entertainment
bayar keta,needs,Financial Services
pergi bercuti langkwai,wants,Others
sabun basuh baju deposit,needs,Others
staycation damansara,wants,Others
买手机 (buy phone) yesterday,wants,Shopping
bayar hutang  pavilion yesterday,needs,Financial Services
isi minyak keta,needs,Transportation
பிரியாணி (briyani special),wants,Food & Beverage
tudung duck,wants,Shopping
beli lauk jb baru,needs,Food & Beverage
bil elektrik tnb kl urgent,needs,Financial Services
bil elektrik tnb  pavilion,needs,Financial Services
home wifi bill,needs,Telecommunication
korean bbq  onlnie,wants,Food & Beverage
car detailing rm50,wants,Others
gym membership rm50,wants,Others
toiletries,needs,Others
klinik apnel now,needs,Others
வீட்டு வாடகை (veettu vaadaagi),needs,Financial Services
bubble tea craving for family,wants,Food & Beverage
home decor damansara,wants,Others
mobile data plan shah alam rm10,needs,Telecommunication
இணையம (internet),needs,Telecommunication
laggan netflix  kedai runcit,wants,Entertainment
plumbin repair monthly,needs,Others
சினிமா (cinema) now,wants,Entertainment
போன் பில் (phne bill),needs,Telecommunication
gi jalan jalan,wants,Entertainment
bubble tea craving  at mall urgent,wants,Food & Beverage
kek secret recipe,wants,Food & Beverage
toiletries damansara tomorrow,needs,Others
beg tangan coach cheras,wants,Shopping
sabun bauh baju,needs,Others
电话费 (diànhuà fèi)  pavilion,needs,Telecommunication
uniqlo haul,wants,Shopping
pizza hut delivery cash,wants,Food & Beverage
杂饭 (záfàn,needs,Food & Beverage
makan tengahari nasi campur  bangsar lagi,needs,Food & Beverage
电话费 (diànhuà fèi)  online today,needs,Telecommunication
chicken rice for lunch today,needs,Food & Beverage
servi aircond,needs,Others
gi pusing pusing  at mall,wants,Others
ubat klinik baru,needs,Others
cshool fees,needs,Others
